municipality_id,source_id,資料名,資料種別,公式URL,発行主体,対象年度,ページ更新日,取得確認日,使用した情報,優先度,現行性,備考,official_verified,official_basis,official_linking_url
M044,S-M044-01,冊子 ごみの分け方と出し方（令和5年11月改定）,自治体公式Webページ,https://www.houki-town.jp/new1/10/12/gomi/6/c935/,伯耆町,令和8年度,2026-03-25,2026-08-19,不燃・資源・有害・可燃・粗大・収集外の住民向け索引,1,現行,,TRUE,MUNICIPAL_DOMAIN,
M044,S-M044-02,令和8年度ごみ収集カレンダー,自治体公式Webページ,https://www.houki-town.jp/new1/10/12/gomi/m131-copy/,伯耆町,令和8年度,2026-03-11,2026-08-19,現行分別体系の収集運用確認,2,現行,,TRUE,MUNICIPAL_DOMAIN,
M044,S-M044-03,スプレー缶・カセットガス・ライターの廃棄について,自治体公式Webページ,https://www.houki-town.jp/new1/10/12/gomi/6/2/,伯耆町,令和8年度,現行,2026-08-19,不燃収集日の危険物条件,3,現行,,TRUE,MUNICIPAL_DOMAIN,
M045,S-M045-01,日南町ごみ分別表（令和7年3月現在）,自治体公式PDF,https://www.town.nichinan.lg.jp/material/files/group/31/nichinantyou_gomibunbetu202503.pdf,日南町,令和8年度,2025-03,2026-08-19,町公式26種類・処理困難物,1,現行,,TRUE,MUNICIPAL_DOMAIN,
M045,S-M045-02,令和8年度上半期ごみ収集カレンダー,自治体公式Webページ,https://www.town.nichinan.lg.jp/soshikikarasagasu/kankyouenergyka/gomi_kankyo_pet/1/22079.html,日南町,令和8年度,2026-03-09,2026-08-19,現在26種類で収集していることの明示,2,現行,,TRUE,MUNICIPAL_DOMAIN,
M046,S-M046-01,令和8年度ごみ収集カレンダー 月・木地区版,自治体公式PDF,https://www.town.hino.tottori.jp/secure/43691/2026karendagetumoku.pdf,日野町,令和8年度,2026,2026-08-19,12住民向け収集ラベル・前処理・充電式小型家電注意,1,現行,,TRUE,MUNICIPAL_DOMAIN,
M046,S-M046-02,ごみ,自治体公式Webページ,https://www.town.hino.tottori.jp/2653.htm,日野町,令和8年度,2026,2026-08-19,令和8年度カレンダー・ごみ分別アプリへの現行公式導線,2,現行,,TRUE,MUNICIPAL_DOMAIN,
M046,S-M046-03,ごみ分別アプリ さんあ～る,自治体公式Webページ,https://www.town.hino.tottori.jp/4352.htm,日野町,令和8年度,現行,2026-08-19,分別方法検索の公式案内,3,現行,,TRUE,MUNICIPAL_DOMAIN,
M047,S-M047-01,家庭ごみの出し方・家庭ごみ分別表,自治体公式Webページ,https://www.town-kofu.jp/2/1/4/9/2/,江府町,令和8年度,現行,2026-08-19,19住民向け分別区分・収集処理不可・令和8年度日程導線,1,現行,,TRUE,MUNICIPAL_DOMAIN,
M047,S-M047-02,ごみ分別検索（50音順）,自治体公式Webページ,https://www.town-kofu.jp/2/1/4/9/2/g103/,江府町,令和8年度,現行,2026-08-19,品目別条件の補助根拠,2,現行,,TRUE,MUNICIPAL_DOMAIN,
M048,S-M048-01,ごみの分別区分と出し方,自治体公式Webページ,https://www.city.matsue.lg.jp/kurashi_tetsuzuki/gomi_kankyo_pet/6/2/7883.html,松江市,令和8年度,2025-01-24,2026-08-19,もやせる・金属・資源4葉・粗大の住民向け体系,1,現行,,TRUE,MUNICIPAL_DOMAIN,
M048,S-M048-02,令和8年度家庭ごみ収集日程,自治体公式Webページ,https://www.city.matsue.lg.jp/kurashi_tetsuzuki/gomi_kankyo_pet/6/R8gominittei/index.html,松江市,令和8年度,2026,2026-08-19,現行収集体系,2,現行,,TRUE,MUNICIPAL_DOMAIN,
M048,S-M048-03,家庭ごみの分別区分と出し方 索引,自治体公式Webページ,https://www.city.matsue.lg.jp/kurashi_tetsuzuki/gomi_kankyo_pet/6/2/index.html,松江市,令和8年度,現行,2026-08-19,水銀・電池・スプレー缶・収集しないごみの公式導線,3,現行,,TRUE,MUNICIPAL_DOMAIN,
M049,S-M049-01,ごみの種類と分け方、出し方（一般家庭）,自治体公式Webページ,https://www.city.hamada.shimane.jp/www/contents/1001000003096/index.html,浜田市,令和8年度,2018-04-01,2026-08-19,一般家庭8分別・粗大・収集不可・旧古着収集終了,1,現行,,TRUE,MUNICIPAL_DOMAIN,
M049,S-M049-02,令和8年度家庭ごみ収集日程表,自治体公式Webページ,https://www.city.hamada.shimane.jp/www/genre/1773704279895/index.html,浜田市,令和8年度,2026-03-17,2026-08-19,5地域の現行収集運用,2,現行,,TRUE,MUNICIPAL_DOMAIN,
M049,S-M049-03,ごみの分け方・出し方 索引,自治体公式Webページ,https://www.city.hamada.shimane.jp/www/genre/1000170010135/index.html,浜田市,令和8年度,2026,2026-08-19,電池・小型充電式電池等の現行追加案内,3,現行,,TRUE,MUNICIPAL_DOMAIN,
M050,S-M050-01,ごみの分類・処理の流れ,自治体公式Webページ,https://www.city.izumo.shimane.jp/www/contents/1751940594041/index.html,出雲市,令和8年度,2025-07-07,2026-08-19,家庭ごみ13葉区分・資源化ルート,1,現行,,TRUE,MUNICIPAL_DOMAIN,
M050,S-M050-02,ごみ・リサイクル,自治体公式Webページ,https://www.city.izumo.shimane.jp/www/genre/1179814088744/index.html,出雲市,令和8年度,2026,2026-08-19,2026年度ごみ収集カレンダー・最新ガイドへの公式導線,2,現行,,TRUE,MUNICIPAL_DOMAIN,
