municipality_id,確認日,ごみトップ,現行ルール,全分別区分,正式名称,代表品目,前処理,袋容器,危険有害,収集しない物,公式出典,参照整合性,Schema検証,category_count_verified,rule_status検証,ui_role検証,検索サービス確認済み,検索サービス存在,やさしい日本語確認済み,やさしい日本語存在,多言語確認済み,多言語存在,粗大ごみ,確認ステータス,備考
M001,2026-08-18,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,UNKNOWN,FALSE,UNKNOWN,TRUE,QA_PASSED,町と広域行政組合の役割を分離
M002,2026-08-18,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,QA_PASSED,全20区分、粗大・電池・拠点回収・多言語を確認
M003,2026-08-18,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,UNKNOWN,FALSE,UNKNOWN,FALSE,UNKNOWN,TRUE,QA_PASSED,町と広域組合の燃えるごみ処理主体を分離
M004,2026-08-18,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,UNKNOWN,FALSE,UNKNOWN,TRUE,TRUE,TRUE,QA_PASSED,生ごみは地域条件付きで独立区分
M005,2026-08-18,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,UNKNOWN,FALSE,UNKNOWN,TRUE,QA_PASSED,2026年10月のプラスチック新設を施行予定として分離
M006,2026-08-18,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,UNKNOWN,FALSE,UNKNOWN,TRUE,QA_PASSED,町実施計画と仙南広域の分別辞典を照合
M007,2026-08-18,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,UNKNOWN,FALSE,UNKNOWN,TRUE,QA_PASSED,2024年以降のプラスチック統合条件を確認
M008,2026-08-18,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,UNKNOWN,FALSE,UNKNOWN,TRUE,QA_PASSED,30ページ分別一覧と戸別粗大ごみを照合
M009,2026-08-18,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,UNKNOWN,FALSE,UNKNOWN,TRUE,QA_PASSED,令和6年適用ガイドが2026年度現行ページに掲載
M010,2026-08-18,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,UNKNOWN,TRUE,TRUE,TRUE,QA_PASSED,公式5種14分別と収集外を別管理
