pair_order,municipality_id,municipality_name,internal_item_id,canonical_name,display_name,review_status,evidence_basis,category_id,category_name,condition,preparation,exception_destination,item_evidence_source_id,item_evidence_url,item_evidence_locator,checked_date,reviewer,note
1,M094,広島市,I001,ペットボトル,ペットボトル,VERIFIED,DIRECT_ITEM,C-M094-02,ペットボトル,PETマークのある飲料・酒類・特定調味料用ボトル,キャップとラベルを外し、中を洗い、つぶす,油・ソース・洗剤等のボトルはリサイクルプラ,IS-M094-06,https://www.city.hiroshima.lg.jp/living/gomi-kankyo/1021277/1003072/1026094/1008424.html,「ペットボトル」の行,2026-08-24,OPENAI_CODEX_IMAGE_MAPPING_PILOT_V1,50音事典の品目行を採用。
2,M094,広島市,I007,白色食品トレー,白いトレー,VERIFIED,OFFICIAL_CATEGORY_RULE,C-M094-03,リサイクルプラ,商品を入れた容器包装で、プラマークのある白色食品トレイ,中身を除き、洗って乾かす,汚れが落ちない物は可燃ごみ,S-M094-01,https://www.city.hiroshima.lg.jp/living/gomi-kankyo/1021277/1003072/1026095/1026096/1003182.html,リサイクルプラ欄（食品トレイの例示）,2026-08-24,OPENAI_CODEX_IMAGE_MAPPING_PILOT_V1,容器包装の公式例示と条件を適用。
3,M094,広島市,I013,新聞,新聞,VERIFIED,DIRECT_ITEM,C-M094-06,資源ごみ,家庭から出る新聞紙,ひもで縛ってまとめる,著しく汚れた紙は可燃ごみ,S-M094-01,https://www.city.hiroshima.lg.jp/living/gomi-kankyo/1021277/1003072/1026095/1026096/1003182.html,資源ごみ欄（紙類・新聞）,2026-08-24,OPENAI_CODEX_IMAGE_MAPPING_PILOT_V1,公式区分欄の新聞表記を採用。
4,M094,広島市,I004,アルミ缶,アルミ缶,VERIFIED,DIRECT_ITEM,C-M094-06,資源ごみ,飲料・食品等のアルミ製空き缶,中身を空にして洗う,スプレー缶は同じ資源ごみだが、屋外ガス抜き等の個別条件に従う,IS-M094-09,https://www.city.hiroshima.lg.jp/living/gomi-kankyo/1021277/1003072/1026094/1008419.html,「アルミ缶」の行,2026-08-24,OPENAI_CODEX_IMAGE_MAPPING_PILOT_V1,50音事典のアルミ缶行を採用。
5,M094,広島市,I006,ガラスびん,びん,VERIFIED,DIRECT_ITEM,C-M094-06,資源ごみ,薬・飲料・食料品等用のガラスびん,中を洗って、じょうぶな袋に入れる,乳白色の化粧品びん・マニキュアびんは不燃ごみ,IS-M094-06,https://www.city.hiroshima.lg.jp/living/gomi-kankyo/1021277/1003072/1026094/1008424.html,「びん(ガラス) 薬・飲料・食料品等用」の行,2026-08-24,OPENAI_CODEX_IMAGE_MAPPING_PILOT_V1,50音事典の用途別ガラスびん行を採用。
6,M094,広島市,I031,電球,電球,VERIFIED,DIRECT_ITEM,C-M094-05,不燃ごみ,白熱電球・LED電球,新聞紙などに包み、内容を表示する,蛍光管・電球形蛍光灯は有害ごみ,IS-M094-05,https://www.city.hiroshima.lg.jp/living/gomi-kankyo/1021277/1003072/1026094/1008422.html,「電球」の行,2026-08-24,OPENAI_CODEX_IMAGE_MAPPING_PILOT_V1,50音事典の電球行を採用。
7,M094,広島市,I029,モバイルバッテリー,モバイルバッテリー,VERIFIED,DIRECT_ITEM,C-M094-07,有害ごみ,家庭で使用した小型充電式電池内蔵のモバイルバッテリー,端子をテープで絶縁する,膨張・破損品は収集日に有害ごみ、通常品は回収ボックスも可,IS-M094-08,https://www.city.hiroshima.lg.jp/living/gomi-kankyo/1021277/1003072/1026095/1026096/1046707.html,モバイルバッテリー欄,2026-08-24,OPENAI_CODEX_IMAGE_MAPPING_PILOT_V1,専用公式案内を採用。
8,M094,広島市,I014,段ボール,段ボール,VERIFIED,DIRECT_ITEM,C-M094-06,資源ごみ,家庭から出る段ボール,折りたたみ、ひもで縛る,汚れた物は可燃ごみ,S-M094-01,https://www.city.hiroshima.lg.jp/living/gomi-kankyo/1021277/1003072/1026095/1026096/1003182.html,資源ごみ欄（段ボール）,2026-08-24,OPENAI_CODEX_IMAGE_MAPPING_PILOT_V1,公式区分欄の段ボール表記を採用。
9,M094,広島市,I033,使い捨てライター,ライター,VERIFIED,DIRECT_ITEM,C-M094-05,不燃ごみ,家庭用の使い捨てライター,他の不燃ごみと袋を分け、透明・半透明のじょうぶな袋に『ライター』と表示,他の不燃ごみと同じ袋へ混ぜない,IS-M094-07,https://www.city.hiroshima.lg.jp/living/gomi-kankyo/1021277/1003072/1026094/1008426.html,「ライター（使い捨て）」の行,2026-08-24,OPENAI_CODEX_IMAGE_MAPPING_PILOT_V1,50音事典の使い捨てライター行を採用。
10,M094,広島市,I017,紙パック,牛乳パック,VERIFIED,DIRECT_ITEM,C-M094-01,可燃ごみ,紙パック（裏にアルミ箔が貼ってある物を含む）,じょうぶな紙袋またはポリ袋に入れる,牛乳パックはできるだけスーパー等の店頭回収を利用,IS-M094-04,https://www.city.hiroshima.lg.jp/living/gomi-kankyo/1021277/1003072/1026094/1008420.html,「紙パック」「紙パック（裏にアルミ箔が貼ってあるもの）」「牛乳パック」の行,2026-08-24,OPENAI_CODEX_IMAGE_MAPPING_PILOT_V1,50音事典では市収集時は可燃ごみ。
11,M095,呉市,I001,ペットボトル,ペットボトル,VERIFIED,DIRECT_ITEM,C-M095-05,資源物（びん類・缶類・ペットボトル）,PETマークのある飲料・調味料用ボトル,キャップとラベルを外し、中を洗う,汚れが取れない物は燃えるごみ,IS-M095-03,https://www.city.kure.lg.jp/soshiki/19/gomidashinew-html.html,資源物（びん類・缶類・ペットボトル）欄,2026-08-24,OPENAI_CODEX_IMAGE_MAPPING_PILOT_V1,現行分別ページを採用。
