municipality_id,internal_item_id,teaching_box_id,projection_kind,category_id,review_status,note
M106,I001,TB-M106-ON-01,OFFICIAL_CATEGORY,C-M106-06,COMPLETE,通常収集categoryを固定10品目採点箱へ投影
M106,I004,TB-M106-ON-04,OFFICIAL_CATEGORY,C-M106-08,COMPLETE,通常収集categoryを固定10品目採点箱へ投影
M106,I006,TB-M106-ON-05,OFFICIAL_CATEGORY,C-M106-09,COMPLETE,通常収集categoryを固定10品目採点箱へ投影
M106,I007,TB-M106-ON-02,OFFICIAL_CATEGORY,C-M106-05,COMPLETE,通常収集categoryを固定10品目採点箱へ投影
M106,I013,TB-M106-ON-03,OFFICIAL_CATEGORY,C-M106-02,COMPLETE,通常収集categoryを固定10品目採点箱へ投影
M106,I014,TB-M106-ON-03,OFFICIAL_CATEGORY,C-M106-02,COMPLETE,通常収集categoryを固定10品目採点箱へ投影
M106,I017,TB-M106-ON-09,OFFICIAL_CATEGORY,C-M106-04,COMPLETE,通常収集categoryを固定10品目採点箱へ投影
M106,I029,TB-M106-ON-07,SIMPLIFIED_ACTION,C-M106-14,COMPLETE,非通常収集categoryを通常分別箱へ誤投影しない
M106,I031,TB-M106-ON-06,OFFICIAL_CATEGORY,C-M106-12,COMPLETE,通常収集categoryを固定10品目採点箱へ投影
M106,I033,TB-M106-ON-08,OFFICIAL_CATEGORY,C-M106-10,COMPLETE,通常収集categoryを固定10品目採点箱へ投影
